DATA_YEAR,STATE_ABBR,STATE_NAME,BIAS_GROUP,BIAS_TYPE,SUM_VICTIM_COUNT
2001,KS,Kansas,Gender,Gender,23
2001,KS,Kansas,Race_Anti-African American,Race,43
2001,KS,Kansas,Race_Anti-Jewish,Race,3
2001,KS,Kansas,Religion,Religion,3
2001,KS,Kansas,Race_Anti-Asian,Race,8
2001,KS,Kansas,Race_Anti-American Indian,Race,2
2001,KY,Kentucky,Race_Anti-African American,Race,55
2001,KY,Kentucky,Race_Other,Race,21
2001,KY,Kentucky,Gender,Gender,10
2001,KY,Kentucky,Religion,Religion,9
2001,KY,Kentucky,Race_Anti-Arab,Race,1
2001,KY,Kentucky,Race_Anti-Jewish,Race,2
2001,KY,Kentucky,Race_Anti-Asian,Race,4
2001,KY,Kentucky,Race_Anti-Hispanic,Race,1
2001,LA,Louisiana,Race_Other,Race,3
2001,LA,Louisiana,Race_Anti-African American,Race,5
2001,LA,Louisiana,Religion,Religion,1
2001,LA,Louisiana,Race_Anti-Jewish,Race,1
2001,MA,Massachusetts,Gender,Gender,125
2001,MA,Massachusetts,Religion,Religion,43
2001,MA,Massachusetts,Race_Other,Race,121
2001,MA,Massachusetts,Race_Anti-African American,Race,175
2001,MA,Massachusetts,Race_Anti-Jewish,Race,89
2001,MA,Massachusetts,Race_Anti-Arab,Race,33
2001,MA,Massachusetts,Race_Anti-Asian,Race,62
2001,MA,Massachusetts,Race_Anti-Hispanic,Race,54
2001,MA,Massachusetts,Race_Anti-American Indian,Race,11
2001,MA,Massachusetts,Disability,Disability,3
2001,MD,Maryland,Race_Anti-African American,Race,124
2001,MD,Maryland,Race_Other,Race,48
2001,MD,Maryland,Race_Anti-Hispanic,Race,2
2001,MD,Maryland,Religion,Religion,25
2001,MD,Maryland,Race_Anti-Jewish,Race,30
2001,MD,Maryland,Gender,Gender,22
2001,MD,Maryland,Race_Anti-Asian,Race,2
2001,ME,Maine,Gender,Gender,17
2001,ME,Maine,Race_Anti-African American,Race,21
2001,ME,Maine,Race_Anti-Asian,Race,1
2001,ME,Maine,Race_Other,Race,3
2001,ME,Maine,Race_Anti-Jewish,Race,1
2001,MI,Michigan,Race_Anti-African American,Race,172
2001,MI,Michigan,Gender,Gender,66
2001,MI,Michigan,Religion,Religion,54
2001,MI,Michigan,Race_Other,Race,176
2001,MI,Michigan,Race_Anti-American Indian,Race,8
2001,MI,Michigan,Race_Anti-Jewish,Race,11
2001,MI,Michigan,Race_Anti-Hispanic,Race,17
2001,MI,Michigan,Disability,Disability,7
2001,MI,Michigan,Race_Anti-Asian,Race,9
2001,MI,Michigan,Race_Anti-Arab,Race,1
2001,MN,Minnesota,Race_Anti-African American,Race,127
2001,MN,Minnesota,Religion,Religion,25
2001,MN,Minnesota,Gender,Gender,44
2001,MN,Minnesota,Race_Anti-Hispanic,Race,4
2001,MN,Minnesota,Race_Anti-American Indian,Race,9
2001,MN,Minnesota,Race_Other,Race,27
2001,MN,Minnesota,Race_Anti-Asian,Race,10
2001,MN,Minnesota,Disability,Disability,1
2001,MN,Minnesota,Race_Anti-Jewish,Race,13
2001,MO,Missouri,Race_Anti-African American,Race,49
2001,MO,Missouri,Race_Anti-Hispanic,Race,5
2001,MO,Missouri,Religion,Religion,20
2001,MO,Missouri,Gender,Gender,10
2001,MO,Missouri,Race_Anti-Asian,Race,3
2001,MO,Missouri,Race_Other,Race,27
2001,MO,Missouri,Race_Anti-Jewish,Race,3
2001,MO,Missouri,Race_Anti-Arab,Race,2
2001,MS,Mississippi,Race_Anti-African American,Race,2
2001,MS,Mississippi,Race_Other,Race,1
2001,MT,Montana,Race_Anti-African American,Race,5
2001,MT,Montana,Race_Anti-American Indian,Race,1
2001,MT,Montana,Gender,Gender,9
2001,MT,Montana,Religion,Religion,1
2001,NB,Nebraska,Gender,Gender,8
2001,NB,Nebraska,Race_Anti-African American,Race,23
2001,NB,Nebraska,Race_Other,Race,15
2001,NB,Nebraska,Religion,Religion,7
2001,NB,Nebraska,Race_Anti-Hispanic,Race,19
2001,NB,Nebraska,Race_Anti-Jewish,Race,2
2001,NB,Nebraska,Race_Anti-Asian,Race,2
2001,NC,North Carolina,Race_Anti-Hispanic,Race,18
2001,NC,North Carolina,Race_Other,Race,24
2001,NC,North Carolina,Race_Anti-African American,Race,45
2001,NC,North Carolina,Gender,Gender,7
2001,NC,North Carolina,Religion,Religion,8
2001,NC,North Carolina,Race_Anti-Jewish,Race,3
2001,NC,North Carolina,Race_Anti-Asian,Race,1
2001,NC,North Carolina,Race_Anti-American Indian,Race,1
2001,ND,North Dakota,Race_Other,Race,3
2001,ND,North Dakota,Race_Anti-African American,Race,8
2001,ND,North Dakota,Race_Anti-Arab,Race,3
2001,ND,North Dakota,Gender,Gender,3
2001,ND,North Dakota,Race_Anti-American Indian,Race,4
2001,NH,New Hampshire,Gender,Gender,9
2001,NH,New Hampshire,Religion,Religion,6
2001,NH,New Hampshire,Race_Anti-Jewish,Race,7
2001,NH,New Hampshire,Race_Other,Race,5
2001,NH,New Hampshire,Race_Anti-African American,Race,2
2001,NH,New Hampshire,Race_Anti-Asian,Race,1
2001,NJ,New Jersey,Race_Other,Race,89
2001,NJ,New Jersey,Race_Anti-African American,Race,266
2001,NJ,New Jersey,Religion,Religion,76
2001,NJ,New Jersey,Race_Anti-Hispanic,Race,41
2001,NJ,New Jersey,Race_Anti-Jewish,Race,192
2001,NJ,New Jersey,Race_Anti-Arab,Race,91
2001,NJ,New Jersey,Gender,Gender,34
2001,NJ,New Jersey,Race_Anti-Asian,Race,13
2001,NJ,New Jersey,Disability,Disability,4
2001,NM,New Mexico,Gender,Gender,7
2001,NM,New Mexico,Race_Other,Race,4
2001,NM,New Mexico,Race_Anti-African American,Race,3
2001,NM,New Mexico,Religion,Religion,2
2001,NM,New Mexico,Race_Anti-Hispanic,Race,6
2001,NM,New Mexico,Race_Anti-American Indian,Race,1
2001,NV,Nevada,Race_Anti-Jewish,Race,9
2001,NV,Nevada,Race_Anti-African American,Race,31
2001,NV,Nevada,Race_Other,Race,44
2001,NV,Nevada,Gender,Gender,23
2001,NV,Nevada,Religion,Religion,9
2001,NV,Nevada,Race_Anti-Hispanic,Race,8
2001,NV,Nevada,Race_Anti-Asian,Race,4
2001,NV,Nevada,Disability,Disability,1
2001,NY,New York,Religion,Religion,90
2001,NY,New York,Race_Anti-Jewish,Race,311
2001,NY,New York,Race_Anti-African American,Race,161
2001,NY,New York,Race_Anti-Hispanic,Race,46
2001,NY,New York,Race_Other,Race,179
2001,NY,New York,Gender,Gender,76
2001,OH,Ohio,Race_Other,Race,173
2001,OH,Ohio,Race_Anti-Hispanic,Race,12
2001,OH,Ohio,Race_Anti-African American,Race,192
2001,OH,Ohio,Race_Anti-Asian,Race,11
2001,OH,Ohio,Gender,Gender,35
2001,OH,Ohio,Race_Anti-Jewish,Race,8
2001,OH,Ohio,Religion,Religion,48
2001,OH,Ohio,Race_Anti-American Indian,Race,1
2001,OH,Ohio,Race_Anti-Arab,Race,9
2001,OK,Oklahoma,Race_Other,Race,22
2001,OK,Oklahoma,Religion,Religion,11
2001,OK,Oklahoma,Gender,Gender,3
2001,OK,Oklahoma,Race_Anti-African American,Race,25
2001,OR,Oregon,Race_Other,Race,60
2001,OR,Oregon,Race_Anti-African American,Race,49
2001,OR,Oregon,Gender,Gender,75
2001,OR,Oregon,Religion,Religion,15
2001,OR,Oregon,Race_Anti-Hispanic,Race,17
2001,OR,Oregon,Race_Anti-Jewish,Race,34
2001,OR,Oregon,Race_Anti-Asian,Race,10
2001,OR,Oregon,Race_Anti-American Indian,Race,2
2001,PA,Pennsylvania,Race_Anti-African American,Race,118
2001,PA,Pennsylvania,Religion,Religion,11
2001,PA,Pennsylvania,Race_Anti-Jewish,Race,22
2001,PA,Pennsylvania,Gender,Gender,9
2001,PA,Pennsylvania,Race_Other,Race,27
2001,PA,Pennsylvania,Race_Anti-Asian,Race,15
2001,PA,Pennsylvania,Race_Anti-Hispanic,Race,6
2001,RI,Rhode Island,Gender,Gender,16
2001,RI,Rhode Island,Race_Anti-African American,Race,22
2001,RI,Rhode Island,Race_Other,Race,14
2001,RI,Rhode Island,Race_Anti-Jewish,Race,6
2001,RI,Rhode Island,Race_Anti-Hispanic,Race,5
2001,RI,Rhode Island,Disability,Disability,1
2001,RI,Rhode Island,Religion,Religion,1
2001,RI,Rhode Island,Race_Anti-Asian,Race,3
2001,SC,South Carolina,Race_Anti-African American,Race,18
2001,SC,South Carolina,Disability,Disability,7
2001,SC,South Carolina,Gender,Gender,10
2001,SC,South Carolina,Race_Anti-Asian,Race,1
2001,SC,South Carolina,Religion,Religion,2
2001,SC,South Carolina,Race_Anti-Jewish,Race,4
2001,SC,South Carolina,Race_Other,Race,16
2001,SC,South Carolina,Race_Anti-Hispanic,Race,9
2001,SD,South Dakota,Race_Other,Race,2
2001,SD,South Dakota,Race_Anti-Hispanic,Race,1
2001,SD,South Dakota,Gender,Gender,2
2001,TN,Tennessee,Race_Other,Race,47
2001,TN,Tennessee,Race_Anti-African American,Race,90
2001,TN,Tennessee,Gender,Gender,44
2001,TN,Tennessee,Race_Anti-Hispanic,Race,9
2001,TN,Tennessee,Race_Anti-American Indian,Race,10
2001,TN,Tennessee,Race_Anti-Jewish,Race,4
2001,TN,Tennessee,Disability,Disability,2
2001,TN,Tennessee,Religion,Religion,12
2001,TN,Tennessee,Race_Anti-Arab,Race,4
2001,TN,Tennessee,Race_Anti-Asian,Race,5
2001,TX,Texas,Race_Anti-Arab,Race,75
2001,TX,Texas,Race_Other,Race,70
2001,TX,Texas,Gender,Gender,68
2001,TX,Texas,Race_Anti-Hispanic,Race,66
2001,TX,Texas,Race_Anti-African American,Race,201
2001,TX,Texas,Religion,Religion,49
2001,TX,Texas,Race_Anti-Asian,Race,12
2001,TX,Texas,Race_Anti-Jewish,Race,21
2001,TX,Texas,Race_Anti-American Indian,Race,1
2001,UT,Utah,Race_Anti-Asian,Race,2
2001,UT,Utah,Religion,Religion,23
2001,UT,Utah,Race_Other,Race,25
2001,UT,Utah,Race_Anti-Hispanic,Race,7
2001,UT,Utah,Gender,Gender,9
2001,UT,Utah,Race_Anti-African American,Race,18
2001,UT,Utah,Race_Anti-Jewish,Race,2
2001,UT,Utah,Race_Anti-American Indian,Race,1
2001,UT,Utah,Race_Anti-Arab,Race,1
2001,VA,Virginia,Race_Anti-Hispanic,Race,16
2001,VA,Virginia,Race_Anti-American Indian,Race,4
2001,VA,Virginia,Race_Other,Race,124
2001,VA,Virginia,Race_Anti-African American,Race,132
2001,VA,Virginia,Gender,Gender,59
2001,VA,Virginia,Race_Anti-Jewish,Race,18
2001,VA,Virginia,Religion,Religion,50
2001,VA,Virginia,Race_Anti-Arab,Race,28
2001,VA,Virginia,Race_Anti-Asian,Race,12
2001,VA,Virginia,Disability,Disability,2
2001,VT,Vermont,Gender,Gender,9
2001,VT,Vermont,Religion,Religion,2
2001,VT,Vermont,Race_Other,Race,1
2001,VT,Vermont,Race_Anti-Jewish,Race,1
2001,VT,Vermont,Race_Anti-African American,Race,7
2001,VT,Vermont,Race_Anti-American Indian,Race,2
2001,VT,Vermont,Race_Anti-Hispanic,Race,1
2001,WA,Washington,Gender,Gender,46
2001,WA,Washington,Race_Anti-African American,Race,107
2001,WA,Washington,Race_Other,Race,101
2001,WA,Washington,Race_Anti-American Indian,Race,2
2001,WA,Washington,Race_Anti-Hispanic,Race,19
2001,WA,Washington,Race_Anti-Jewish,Race,37
2001,WA,Washington,Race_Anti-Asian,Race,21
2001,WA,Washington,Religion,Religion,28
2001,WA,Washington,Disability,Disability,2
2001,WA,Washington,Race_Anti-Arab,Race,9
2001,WI,Wisconsin,Race_Anti-African American,Race,29
2001,WI,Wisconsin,Race_Other,Race,12
2001,WI,Wisconsin,Race_Anti-Asian,Race,6
2001,WI,Wisconsin,Gender,Gender,12
2001,WI,Wisconsin,Race_Anti-Hispanic,Race,2
2001,WI,Wisconsin,Race_Anti-Jewish,Race,4
2001,WI,Wisconsin,Religion,Religion,13
2001,WI,Wisconsin,Race_Anti-American Indian,Race,1
2001,WV,West Virginia,Race_Other,Race,12
2001,WV,West Virginia,Gender,Gender,9
2001,WV,West Virginia,Race_Anti-African American,Race,24
2001,WV,West Virginia,Race_Anti-American Indian,Race,1
2001,WV,West Virginia,Race_Anti-Hispanic,Race,3
2001,WY,Wyoming,Gender,Gender,5
2001,WY,Wyoming,Religion,Religion,2
2001,WY,Wyoming,Race_Anti-Hispanic,Race,1
2001,WY,Wyoming,Race_Anti-African American,Race,2
2002,AK,Alaska,Gender,Gender,3
2002,AK,Alaska,Race_Anti-African American,Race,2
2002,AK,Alaska,Race_Anti-American Indian,Race,2
2002,AL,Alabama,Race_Other,Race,1
2002,AL,Alabama,Race_Anti-African American,Race,1
2002,AZ,Arizona,Disability,Disability,2
2002,AZ,Arizona,Gender,Gender,60
2002,AZ,Arizona,Race_Other,Race,70
2002,AZ,Arizona,Race_Anti-Hispanic,Race,48
2002,AZ,Arizona,Race_Anti-African American,Race,98
2002,AZ,Arizona,Religion,Religion,21
2002,AZ,Arizona,Race_Anti-Asian,Race,13
2002,AZ,Arizona,Race_Anti-Jewish,Race,21
2002,AZ,Arizona,Race_Anti-American Indian,Race,4
2002,CA,California,Race_Anti-African American,Race,580
2002,CA,California,Race_Other,Race,404
2002,CA,California,Race_Anti-Asian,Race,78
2002,CA,California,Race_Anti-Jewish,Race,194
2002,CA,California,Gender,Gender,446
2002,CA,California,Religion,Religion,76
2002,CA,California,Race_Anti-Hispanic,Race,203
2002,CA,California,Race_Anti-Arab,Race,4
2002,CA,California,Disability,Disability,10
2002,CA,California,Race_Anti-American Indian,Race,3
2002,CO,Colorado,Race_Anti-Asian,Race,8
2002,CO,Colorado,Race_Anti-African American,Race,50
2002,CO,Colorado,Gender,Gender,20
2002,CO,Colorado,Race_Other,Race,17
2002,CO,Colorado,Religion,Religion,5
2002,CO,Colorado,Race_Anti-Jewish,Race,18
2002,CO,Colorado,Race_Anti-Hispanic,Race,13
2002,CT,Connecticut,Race_Anti-African American,Race,65
2002,CT,Connecticut,Race_Anti-Jewish,Race,25
2002,CT,Connecticut,Religion,Religion,3
2002,CT,Connecticut,Race_Other,Race,25
2002,CT,Connecticut,Gender,Gender,34
2002,CT,Connecticut,Race_Anti-Arab,Race,2
2002,CT,Connecticut,Race_Anti-Hispanic,Race,15
2002,CT,Connecticut,Race_Anti-Asian,Race,9
2002,CT,Connecticut,Disability,Disability,2
2002,DC,District of Columbia,Gender,Gender,10
2002,DC,District of Columbia,Race_Anti-Arab,Race,5
2002,DC,District of Columbia,Race_Other,Race,3
2002,DE,Delaware,Gender,Gender,7
2002,DE,Delaware,Race_Anti-African American,Race,6
2002,DE,Delaware,Race_Anti-Jewish,Race,1
2002,DE,Delaware,Race_Anti-Hispanic,Race,1
2002,FL,Florida,Race_Other,Race,111
2002,FL,Florida,Race_Anti-African American,Race,104
2002,FL,Florida,Gender,Gender,57
2002,FL,Florida,Race_Anti-Jewish,Race,22
2002,FL,Florida,Religion,Religion,19
2002,FL,Florida,Race_Anti-Asian,Race,1
2002,FL,Florida,Race_Anti-Hispanic,Race,1
2002,GA,Georgia,Race_Other,Race,9
2002,GA,Georgia,Race_Anti-African American,Race,18
2002,GA,Georgia,Race_Anti-Hispanic,Race,2
2002,GA,Georgia,Gender,Gender,12
2002,IA,Iowa,Race_Anti-African American,Race,23
2002,IA,Iowa,Race_Anti-Jewish,Race,6
2002,IA,Iowa,Religion,Religion,3
2002,IA,Iowa,Race_Other,Race,10
2002,IA,Iowa,Gender,Gender,9
2002,IA,Iowa,Race_Anti-Arab,Race,1
2002,ID,Idaho,Race_Anti-African American,Race,10
2002,ID,Idaho,Race_Other,Race,8
2002,ID,Idaho,Gender,Gender,3
2002,ID,Idaho,Race_Anti-Jewish,Race,4
2002,ID,Idaho,Race_Anti-Hispanic,Race,11
2002,ID,Idaho,Religion,Religion,13
2002,ID,Idaho,Race_Anti-American Indian,Race,3
2002,ID,Idaho,Race_Anti-Asian,Race,2
2002,IL,Illinois,Race_Anti-African American,Race,68
2002,IL,Illinois,Race_Anti-Hispanic,Race,4
2002,IL,Illinois,Race_Anti-Jewish,Race,33
2002,IL,Illinois,Race_Other,Race,46
2002,IL,Illinois,Religion,Religion,3
2002,IL,Illinois,Gender,Gender,41
2002,IL,Illinois,Race_Anti-Asian,Race,3
2002,IL,Illinois,Race_Anti-Arab,Race,6
2002,IN,Indiana,Race_Anti-African American,Race,51
2002,IN,Indiana,Gender,Gender,15
2002,IN,Indiana,Race_Other,Race,31
2002,IN,Indiana,Race_Anti-Hispanic,Race,4
2002,IN,Indiana,Race_Anti-Jewish,Race,4
2002,IN,Indiana,Race_Anti-Asian,Race,3
2002,IN,Indiana,Religion,Religion,1
2002,KS,Kansas,Race_Other,Race,15
2002,KS,Kansas,Race_Anti-African American,Race,35
2002,KS,Kansas,Race_Anti-Asian,Race,14
2002,KS,Kansas,Gender,Gender,9
2002,KS,Kansas,Religion,Religion,2
2002,KS,Kansas,Race_Anti-Hispanic,Race,2
2002,KS,Kansas,Race_Anti-American Indian,Race,1
2002,KY,Kentucky,Race_Anti-Hispanic,Race,13
2002,KY,Kentucky,Race_Other,Race,16
2002,KY,Kentucky,Race_Anti-African American,Race,43
2002,KY,Kentucky,Gender,Gender,21
2002,KY,Kentucky,Religion,Religion,2
2002,KY,Kentucky,Race_Anti-Asian,Race,1
2002,LA,Louisiana,Race_Anti-African American,Race,24
2002,LA,Louisiana,Race_Other,Race,2
2002,LA,Louisiana,Religion,Religion,1
2002,LA,Louisiana,Race_Anti-Hispanic,Race,1
2002,LA,Louisiana,Gender,Gender,1
2002,MA,Massachusetts,Religion,Religion,36
2002,MA,Massachusetts,Race_Anti-American Indian,Race,8
2002,MA,Massachusetts,Gender,Gender,108
2002,MA,Massachusetts,Race_Anti-African American,Race,153
2002,MA,Massachusetts,Race_Anti-Jewish,Race,64
2002,MA,Massachusetts,Race_Other,Race,59
2002,MA,Massachusetts,Race_Anti-Arab,Race,18
2002,MA,Massachusetts,Race_Anti-Asian,Race,35
2002,MA,Massachusetts,Race_Anti-Hispanic,Race,22
2002,MA,Massachusetts,Disability,Disability,1
2002,MD,Maryland,Race_Anti-African American,Race,123
2002,MD,Maryland,Race_Other,Race,28
2002,MD,Maryland,Religion,Religion,15
2002,MD,Maryland,Race_Anti-Asian,Race,4
2002,MD,Maryland,Race_Anti-Hispanic,Race,6
2002,MD,Maryland,Race_Anti-Jewish,Race,36
2002,MD,Maryland,Gender,Gender,16
2002,MD,Maryland,Disability,Disability,1
2002,ME,Maine,Race_Anti-African American,Race,28
2002,ME,Maine,Gender,Gender,10
2002,ME,Maine,Race_Anti-Jewish,Race,2
2002,ME,Maine,Religion,Religion,1
2002,ME,Maine,Race_Other,Race,7
2002,MI,Michigan,Race_Anti-Hispanic,Race,15
2002,MI,Michigan,Gender,Gender,55
2002,MI,Michigan,Race_Anti-African American,Race,192
2002,MI,Michigan,Race_Anti-Jewish,Race,25
2002,MI,Michigan,Race_Other,Race,142
2002,MI,Michigan,Race_Anti-American Indian,Race,6
2002,MI,Michigan,Religion,Religion,52
2002,MI,Michigan,Race_Anti-Asian,Race,8
2002,MI,Michigan,Disability,Disability,1
2002,MN,Minnesota,Race_Anti-Asian,Race,11
2002,MN,Minnesota,Race_Anti-African American,Race,113
2002,MN,Minnesota,Gender,Gender,37
2002,MN,Minnesota,Race_Other,Race,62
2002,MN,Minnesota,Race_Anti-American Indian,Race,5
2002,MN,Minnesota,Religion,Religion,5
2002,MN,Minnesota,Disability,Disability,3
2002,MN,Minnesota,Race_Anti-Jewish,Race,11
2002,MN,Minnesota,Race_Anti-Hispanic,Race,1
2002,MO,Missouri,Race_Other,Race,15
2002,MO,Missouri,Religion,Religion,6
2002,MO,Missouri,Race_Anti-African American,Race,42
2002,MO,Missouri,Race_Anti-Hispanic,Race,2
2002,MO,Missouri,Race_Anti-Jewish,Race,6
2002,MO,Missouri,Gender,Gender,4
2002,MO,Missouri,Race_Anti-Asian,Race,1
2002,MS,Mississippi,Race_Anti-African American,Race,3
2002,MS,Mississippi,Race_Anti-Jewish,Race,1
2002,MT,Montana,Race_Anti-Jewish,Race,2
2002,MT,Montana,Race_Anti-Hispanic,Race,7
2002,MT,Montana,Race_Anti-American Indian,Race,6
2002,MT,Montana,Gender,Gender,10
2002,NB,Nebraska,Gender,Gender,6
2002,NB,Nebraska,Race_Anti-African American,Race,22
2002,NB,Nebraska,Race_Other,Race,15
2002,NB,Nebraska,Race_Anti-Jewish,Race,8
2002,NB,Nebraska,Race_Anti-Hispanic,Race,12
2002,NB,Nebraska,Race_Anti-American Indian,Race,1
2002,NB,Nebraska,Race_Anti-Asian,Race,2
2002,NC,North Carolina,Gender,Gender,12
2002,NC,North Carolina,Religion,Religion,6
2002,NC,North Carolina,Race_Anti-African American,Race,27
2002,NC,North Carolina,Race_Anti-American Indian,Race,3
2002,NC,North Carolina,Race_Anti-Hispanic,Race,5
2002,NC,North Carolina,Race_Other,Race,22
2002,NC,North Carolina,Race_Anti-Jewish,Race,1
2002,ND,North Dakota,Race_Anti-Hispanic,Race,3
2002,ND,North Dakota,Race_Anti-African American,Race,4
2002,ND,North Dakota,Gender,Gender,2
2002,ND,North Dakota,Race_Anti-American Indian,Race,10
2002,ND,North Dakota,Religion,Religion,1
2002,NH,New Hampshire,Race_Anti-African American,Race,9
2002,NH,New Hampshire,Race_Anti-Asian,Race,4
2002,NH,New Hampshire,Religion,Religion,3
2002,NH,New Hampshire,Gender,Gender,11
2002,NH,New Hampshire,Race_Anti-Jewish,Race,2
2002,NH,New Hampshire,Disability,Disability,3
2002,NH,New Hampshire,Race_Other,Race,3
2002,NH,New Hampshire,Race_Anti-Hispanic,Race,2
2002,NJ,New Jersey,Race_Other,Race,71
2002,NJ,New Jersey,Race_Anti-African American,Race,220
2002,NJ,New Jersey,Race_Anti-Jewish,Race,192
2002,NJ,New Jersey,Race_Anti-Arab,Race,14
2002,NJ,New Jersey,Race_Anti-Asian,Race,9
2002,NJ,New Jersey,Race_Anti-Hispanic,Race,43
2002,NJ,New Jersey,Religion,Religion,28
2002,NJ,New Jersey,Gender,Gender,38
2002,NM,New Mexico,Race_Other,Race,3
2002,NM,New Mexico,Race_Anti-African American,Race,4
2002,NM,New Mexico,Religion,Religion,1
2002,NM,New Mexico,Gender,Gender,5
2002,NM,New Mexico,Race_Anti-Asian,Race,1
2002,NM,New Mexico,Race_Anti-American Indian,Race,1
2002,NV,Nevada,Gender,Gender,13
2002,NV,Nevada,Religion,Religion,7
2002,NV,Nevada,Race_Anti-African American,Race,22
